name,Accuracy,Precision,Recall,F1,ROC-AUC,Type
RandomForest,0.8333,0.8,0.6316,0.7059,0.9012,Ensemble
SkopeRules,0.6833,0.0,0.0,0.0,0.8986,Rule-based
GreedyRuleList,0.8333,0.9091,0.5263,0.6667,0.8851,Rule-based
RuleFit,0.8167,0.8333,0.5263,0.6452,0.8825,Rule-based
XGBoost,0.8333,0.8,0.6316,0.7059,0.8511,Ensemble
GradientBoosting,0.8167,0.75,0.6316,0.6857,0.8472,Ensemble
BayesianRuleList,0.75,0.5714,0.8421,0.6809,0.8408,Rule-based
FIGS,0.75,0.6667,0.4211,0.5161,0.767,Rule-based
